Where	Sub	Type	method	Text	Translation	File Directory	File Name	size	sha256	identifier	Reworked by	Contributors	Attribution	Comments	max_length
			pending			\Modular\Decals\Files	TX_Decal_People.png	193278	32ec8687172cdb513c271e300f779edda1c50fd1cf8603f8a342b739e23b5553						
			pending			\Modular\Decals\Files	TX_Decal_Road_A.png	218721	75e4bab4ca0e4a9332db7bbe8390dec0b53dcce44e8ed3d5e2f606180d9a033c						
			pending			\Modular\Decals\Files	TX_Decal_Road_B.png	103420	a86ffa652f230ea53c46f7b3069f753d62482f980d0bd31a883e0739c06952c1						
			pending			\Modular\Decals\Files	TX_Decal_Road_C.png	124924	3ebeaf2a4b6f511edfac2b985368df7b5704bc407e50b19b24d6bd242e321a79						
			pending			\Modular\Decals\Files	TX_Decal_School_A.png	630259	70e7899cbe9646573d0b0b63a4089ff91dbd9722a3e0e5294aecc7deaa2513e2						
			pending			\Modular\Decals\Files	TX_Decal_School_B.png	910250	708cb4a5492b64b147a6a6c9669037ba0ffe663384280e39189b7e9c44b0ed0b						
			pending			\Modular\Decals\Files	TX_Decal_School_C.png	2449812	5ad7cbdcb9befa5f9c6fb6342713154185a37b2a3fdbd3df60a916479aa3a358						
			pending			\Modular\Decals\Files	TX_Decal_School_D.png	199931	2b6828d4016c204faf76c1735cc3490faa80818ada6c0968a567183d5a4b1b74						
			pending			\Modular\Decals\Files	TX_Decal_Smiley_A.png	174402	04943e7b7847d8bc04d593c740d9fe881bb298019e6f0dee67019774ec2d72da						
			pending			\Modular\Decals\Files	TX_Decal_Smiley_B.png	193658	b967dbe116127bac00da6ec8ae28400633dabbe4047fe87d4a2764c3def7a419						
			pending			\Modular\Decals\Files	TX_Decal_Snok.png	144354	c942e71830e6b929bb0b9d38ec710a1afc5ddb8dc197ac303cf1951f50de773e						
			pending			\Modular\Decals\Files	TX_Decal_Spuge.png	370002	34adb8bf892ca3c0431c411b8272a503b137dee23fe6797f110665375f8507f4						
			pending			\Modular\Decals\Files	TX_Decal_Stain.png	2144105	b0e31b1a39533e2ad82d605430ffe16af4e1ff16cf02dcf0fb69da723a66dd13						
