Where	Sub	Type	method	Text	Translation	File Directory	File Name	size	sha256	Reworked by	Contributors	Attribution	Comments	max_length
			ignore			\Items\Armor\Files	TX_Armor_Plate_IV_AL.png	299271	4405a838c2b6c4ef5931091ac489ec8314a9ae6c524062f768ce793b8fd05c24				Reason for ignoring: Translation is unnecessary	
			ignore			\Items\Attachments\ACOG\Files	Icon_ACOG.png	16209	803ea851c5069285a524ba266c35f90a36097b28e1769d4d32dfb03b282e30bf					
			ignore			\Items\Attachments\ACOG\Files	TX_ACOG_AL.png	2203021	1371eb973236ca7cbc8d67f0c30fc024dd568de77005433cfc40850813611a32					
			ignore			\Items\Attachments\ACOG\Files	TX_ACOG_AO.png	192317	e1600af3ad3d85506223b1b948a5cfd3927c5c18b83746dbeb4f581705c6a59b					
			ignore			\Items\Attachments\ACOG\Files	TX_ACOG_NR.png	1065511	97113cabdf6bd3535dc8f4114e61800b2fdcf19db56921fd5fa26c8a69bba3d8					
			ignore			\Items\Attachments\ACOG\Files	TX_ACOG_Reticle.png	25460	88fb3791ccd824a3593fe5eb4c00349d7c833168bafe573603ff869c0fab1c62					
			ignore			\Items\Attachments\ANPEQ\Files	Icon_ANPEQ_Side.png	10643	3839e9f3550a9317e20a109367f87aef41d8dd206f4ed49c37224102bc7bffc3				Reason for ignoring: Low resolution	
			ignore			\Items\Attachments\ANPEQ\Files	Icon_ANPEQ_Top.png	5440	71d1ef81cd21e55a1f4cb8854d5a46e124a97b4c9071f2f6cd13b6f622f77788					
			pending			\Items\Attachments\ANPEQ\Files	TX_ANPEQ_AL.png	1086545	e9e44fe0fa64c9f3cad743090fab97d5f83cd6081bf1fc7c8e293807d20cc1c4					
			ignore			\Items\Attachments\ANPEQ\Files	TX_ANPEQ_NR.png	1547895	fb0f4ae69526cddd0df03d69b3b47a797b66cecefc90e2b77af6da35d1163e13					
			ignore			\Items\Attachments\Common\Lasers\Files	TX_Laser_Alpha.png	34994	e27eac95794c443b5ecafc9538442c31cf2ffb1efee1b0ae1c9ff50e70700b1b					
			ignore			\Items\Attachments\Common\Lasers\Files	TX_Laser_Noise.png	172565	22b07a9d4ac914e3656c9a6b47fe669d76c899c51ad0612757cc47940a70af42					
			ignore			\Items\Attachments\Common\Optics	TX_RDS.png	3743	85088386c9b6df12b771e0797abf5d5c73e4f07cedd9d13c1292d9116e8bad14					
			ignore			\Items\Attachments\EXPS\Files	Icon_EXPS.png	9621	3cf45990c930dc3ce6a823435dcb87880135f66afce37606beebc75590268f1c					
			pending			\Items\Attachments\EXPS\Files	TX_EXPS_AL.png	2002772	159a2b0d21b5f3881bd70a497f1d191f11d4bb1ab1d4a6c9d457089fde215c94					
			ignore			\Items\Attachments\EXPS\Files	TX_EXPS_NR.png	1221188	07e8e1e7eabb68cb4bf6fed23b0f0b23a2aba424553fbd8f92966545ae321dd2					
			ignore			\Items\Attachments\EXPS\Files	TX_EXPS_Reticle.png	6150	1f2938e5a1a37f5f524b1530448926236bb5677f17ffce36d8cec91de0a85657					
			ignore			\Items\Attachments\HMR\Files	Icon_HMR.png	15928	febd8836c81c536334ed9a3bc747d4bef33db063f621a009dce840b796938237					
			ignore			\Items\Attachments\HMR\Files	TX_HMR_AL.png	1992631	4249e7885cd63310ec5090de24cc8f2ea5342ee21e423152357a52ac5c1d9871					
			ignore			\Items\Attachments\HMR\Files	TX_HMR_AO.png	209576	2eebeab6c9aa4e2620dc983e404b462d2837451c6e1f9ef8adf09577a711d219					
			ignore			\Items\Attachments\HMR\Files	TX_HMR_NR.png	1150032	37b7d782b8223c27d7daf2ee7cca9b924880fce4c50363595ea1615baeca3d0e					
